Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry
HSS,HSS7X7X.188,HSS7X7X3/16,F,17.08,4.67,–,–,7,6.48,–,–,–,7,6.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,37.2,–,37.2,–,36,11.9,10.3,2.77,36,11.9,10.3,2.77
HSS,HSS7X7X.125,HSS7X7X1/8,F,11.56,3.16,–,–,7,6.65,–,–,–,7,6.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,57.3,–,57.3,–,24.8,8.13,7.09,2.8,24.8,8.13,7.09,2.8
HSS,HSS6X6X.625,HSS6X6X5/8,F,42.3,11.7,–,–,6,4.26,–,–,–,6,4.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,7.33,–,7.33,–,55.2,23.2,18.4,2.17,55.2,23.2,18.4,2.17
HSS,HSS6X6X.500,HSS6X6X1/2,F,35.24,9.74,–,–,6,4.61,–,–,–,6,4.61,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,9.9,–,9.9,–,48.3,19.8,16.1,2.23,48.3,19.8,16.1,2.23
HSS,HSS6X6X.375,HSS6X6X3/8,F,27.48,7.58,–,–,6,4.95,–,–,–,6,4.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,39.5,15.8,13.2,2.28,39.5,15.8,13.2,2.28
HSS,HSS6X6X.313,HSS6X6X5/16,F,23.34,6.43,–,–,6,5.13,–,–,–,6,5.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,17.6,–,17.6,–,34.3,13.6,11.4,2.31,34.3,13.6,11.4,2.31
HSS,HSS6X6X.250,HSS6X6X1/4,F,19.02,5.24,–,–,6,5.3,–,–,–,6,5.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,22.8,–,22.8,–,28.6,11.2,9.54,2.34,28.6,11.2,9.54,2.34
HSS,HSS6X6X.188,HSS6X6X3/16,F,14.53,3.98,–,–,6,5.48,–,–,–,6,5.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,22.3,8.63,7.42,2.37,22.3,8.63,7.42,2.37
HSS,HSS6X6X.125,HSS6X6X1/8,F,9.86,2.7,–,–,6,5.65,–,–,–,6,5.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,48.7,–,48.7,–,15.5,5.92,5.15,2.39,15.5,5.92,5.15,2.39
HSS,HSS5-1/2X5-1/2X.375,HSS5-1/2X5-1/2X3/8,F,24.93,6.88,–,–,5.5,4.45,–,–,–,5.5,4.45,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,12.8,–,12.8,–,29.7,13.1,10.8,2.08,29.7,13.1,10.8,2.08
HSS,HSS5-1/2X5-1/2X.313,HSS5-1/2X5-1/2X5/16,F,21.21,5.85,–,–,5.5,4.63,–,–,–,5.5,4.63,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,15.9,–,15.9,–,25.9,11.3,9.43,2.11,25.9,11.3,9.43,2.11
