,B,C,D,E
count,1000.0,1000.0,1000.0,1000.0
mean,23.56110425696755,93620.32003313166,137736.69239051914,6583.855279312756
std,243.68272024590962,36073.74041093434,50179.37254051464,3022.3810690003966
min,0.0,42648.48903787632,4722.133392730814,1610.6508096084108
25%,0.0,78053.60689814162,101126.99161244885,4554.305575990644
50%,0.0,90092.46101464587,136913.08510428754,5926.570437678876
75%,0.0,104731.72436856874,170366.19959274004,8004.2226872034435
max,5130.564617415473,1003357.4606979436,329803.6064746288,35470.903054036906
count,1000.0,1000.0,1000.0,1000.0
mean,22148.546417601036,226825.5872803295,267869.910911025,7833.937566886264
std,37550.591606905014,60270.334910533886,61250.702331619395,3473.305200253639
min,0.0,103105.97026887214,109103.82592257568,2457.0851974322627
25%,5707.680376869645,186489.23288460018,225057.29294789414,5509.012635144661
50%,12053.27848193725,219188.8517234524,265089.5364450201,7130.057200899417
75%,26727.849716524903,257447.5564850755,307119.06497890543,9348.694213410294
max,785176.9709596577,789069.7284688854,524970.8412813455,30995.881701612543
count,1000.0,1000.0,1000.0,1000.0
mean,2076.3738862412383,129564.25416770269,176012.73495942642,6560.992959389527
std,7490.974878222566,31535.950940157,50782.09141112035,3199.2307211218736
min,0.0,61904.22380510904,35703.21919758279,1823.8797183787035
25%,0.0,107657.936939268,139855.4465766041,4376.4519250330995
50%,0.0,124281.2319645034,174228.2271207181,5743.498509033225
75%,1749.2684757186203,146246.86644386657,207575.13032211753,7839.91734590451
max,120441.4337090892,323962.7946907696,390769.8572336582,23553.878610340875
count,1000.0,1000.0,1000.0,1000.0
mean,2229.099415236708,81567.7903995488,188998.28852855854,7981.129693104909
std,5885.982183470296,24860.258217134146,53371.43952237841,3555.7955315482945
min,0.0,38922.09617299181,48940.43946858752,2440.352392784398
25%,0.0,66293.56114239697,152279.75163712978,5541.426237717253
50%,211.91273522050082,77679.88869742412,186975.07694073475,7302.3496304414975
75%,1709.2486828443293,92090.41103122567,220996.88664334055,9471.935127990693
max,89580.02213697124,341798.42461629806,426535.7402951666,34768.395261047
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,2593.770580871801,151461.25680354604,190017.39727474158,7846.9789095559645
std,6661.870763415743,36797.08392238018,54109.49460063937,3405.115733689151
min,0.0,74288.32371447762,53580.80501606602,2250.602251397197
25%,0.0,126019.80635266556,151569.81898231592,5502.538289563292
50%,661.6403379885879,145628.99927777023,188678.4333959243,7202.963717531597
75%,2753.804328308319,170411.07980914545,226029.3741593202,9221.83411061255
max,110771.61558051719,407023.0450519797,407153.1204019331,31678.256005754403
count,1000.0,1000.0,1000.0,1000.0
mean,399.03015933415594,49900.129821366725,196932.91390494377,6731.772021317366
std,1900.299357522481,25899.403279109956,53025.01952416033,3141.3337061541974
min,0.0,16025.428392779668,52561.692882845105,2033.5099860159194
25%,0.0,36880.144879953834,159471.44090728462,4639.988611428063
50%,0.0,44644.10566919594,194565.01244791664,6134.063676358195
75%,0.0,55779.83993220348,232072.0805377806,8120.868917620761
max,25231.001776541874,378381.0183553229,410616.8534949455,41093.27398630854
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,948.0,948.0,948.0,948.0
mean,513670.401864936,578371.6957783973,460215.49157283735,8124.955918916999
std,145419.9791398908,76049.74960199802,92846.301877077,3629.8993817244336
min,199829.06634991238,354167.14437487634,234462.34530162474,1882.65044531394
25%,430392.4990384631,527199.2477842895,400575.51756891597,5699.54840186245
50%,504628.9902290631,575251.4555685896,448609.03348255774,7422.954518815598
75%,586505.5908175218,626074.0788311166,510812.68254232197,9678.928090465697
max,3063414.8748660875,965653.5081129617,1001080.8896925062,38214.3334707972
count,999.0,999.0,999.0,999.0
mean,120265.95534311201,302364.07175229344,273823.41988538683,6359.033855708639
std,64129.55597619031,67203.49893664908,60200.157586986825,2910.3876712438982
min,15430.24993886241,144100.97436719603,120856.63629863795,1658.1798250897182
25%,72083.76014261882,255919.1364100352,230948.39423319604,4292.784477800347
