,B,C,D,E
max,288779.753065891,665881.6326653445,479389.60590086767,32824.28573413985
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,54198.09029767419,43817.01899436914,6025.169183487431
std,0.0,13779.077418650151,43598.61662645471,2885.6714173154824
min,0.0,18391.162237124932,0.0,1817.289448921423
25%,0.0,45463.7021938985,1020.5709050803881,4063.8069792115466
50%,0.0,53226.58476595252,39826.570417638795,5427.737077818777
75%,0.0,61226.477510439036,69369.08036215081,7229.342627325741
max,0.0,149996.41315293673,232091.37909373964,28512.238599151573
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,18319.72411352063,57743.35769091294,5731.899613096864
std,0.0,7826.488006038667,44063.37384202471,2740.591766447305
min,0.0,2458.889093077564,0.0,1300.6959876820756
25%,0.0,12628.389307191374,22580.03891253648,3928.977548288783
50%,0.0,17344.645760909672,56063.50088626168,5160.030977240578
75%,0.0,22975.014471931852,86789.86826184519,6811.254321640332
max,0.0,81081.59344410166,219110.63303435306,22908.685924901667
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,10804.523753893314,25303.192769306705,7804.338638251264
std,0.0,6113.966318931799,35679.412489256865,3473.7302943986997
min,0.0,951.7812620110315,0.0,2218.166989991455
25%,0.0,6261.980231546679,0.0,5366.136428581414
50%,0.0,9304.646462799436,661.2613912599397,7096.485441386187
75%,0.0,13841.230659066008,46533.52970615792,9255.644658989055
max,0.0,43657.277433600146,178905.11395752156,26991.249131325898
count,1000.0,1000.0,1000.0,1000.0
mean,2.9253275695029646,50703.29669271118,104382.54306775855,6122.858736573215
std,65.45274501523944,13852.649741283176,49662.2515864906,2914.4609948344923
min,0.0,22081.814236971117,0.0,1809.053316906755
25%,0.0,41729.88873118065,69614.09095622919,4142.750668325094
50%,0.0,48298.037031053376,102025.64735381541,5558.699277340507
75%,0.0,57731.7635215733,137930.6273501695,7233.924282166381
max,1931.9172914330582,175456.95305246656,262223.2356900315,24776.070568455754
count,1000.0,1000.0,1000.0,1000.0
mean,215.44930232680838,15157.12799220496,136355.820583713,7795.616076991104
std,2136.1093678774632,8186.800603212497,48654.65847533368,3334.012810829996
min,0.0,1596.69967770466,2117.4181522043564,2038.6046562733457
25%,0.0,9356.436990860715,103769.89729185893,5446.754625723007
50%,0.0,13451.018406335173,134176.18768203165,7014.511718415039
75%,0.0,19124.110549625046,167134.25197323904,9301.080079758269
max,39239.79982811917,88383.38854408232,305404.6045527581,22623.263151917632
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,1.4324137049072674,37023.44226437929,75135.39977326819,7763.345765381138
std,45.296898591472385,10753.502512364588,47739.42665290505,3369.0867722491207
min,0.0,8791.730835356499,0.0,2139.786571252701
25%,0.0,29521.10004593489,40466.037376708635,5443.596094915211
50%,0.0,36196.217596946575,72963.76439277177,6986.68880511413
75%,0.0,42680.401242178275,106468.3085232315,9255.747743332413
max,1432.4137049072674,115658.52917375104,282563.533026141,30006.68466360317
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,15820.805670289279,101342.45597585224,5839.359407461529
std,0.0,9550.052405764138,48410.19273843235,2956.638824716924
min,0.0,1535.4784059727933,0.0,1232.9900773126474
25%,0.0,9749.263294270078,66063.81447369067,3849.7356978138314
50%,0.0,14304.513052035609,99019.99721725087,5214.238974318929
75%,0.0,19613.128140941855,134153.59918398832,7021.697592352608
max,0.0,141484.49867680488,324788.8768304091,29733.11188570383
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
