,B,C,D,E
min,0.0,81049.60448002582,37947.05087086668,2025.2265335492182
25%,0.0,141416.87981179575,129328.80333247532,5268.9227232533685
50%,2450.1947148501913,167196.9819628208,164110.49371644028,6987.272349241026
75%,5805.067724837492,194958.68281004034,197551.97756030227,9234.605485212815
max,168422.26454990852,534316.7161153908,424123.0487776199,51280.91935117905
count,88.0,88.0,88.0,88.0
mean,1793579.2088087918,547754.9250715541,347866.9715051484,6741.143367953617
std,186629.77294749478,49883.44319212449,78036.94776507998,2648.226725782987
min,1364765.8971808383,443967.5924441116,212685.51564439404,2441.1838037021407
25%,1662782.9330387663,508327.5176899903,292661.64713692607,4777.435642587984
50%,1771012.7277787507,553790.1424714599,332802.76459447446,6257.904363636633
75%,1924862.6781272013,580054.5797347947,392817.70867346367,8123.031405353185
max,2283602.0291505777,658023.3565204762,584018.4159148717,18269.221017936543
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,8990.054183959652,202658.23037348982,193920.3799915386,7769.710728412716
std,13850.867063905873,54948.44544399557,53641.087430153086,3401.041156212766
min,0.0,93600.27141638151,35999.52311944787,2159.887233053625
25%,1922.5324514747842,165617.12056212395,157610.2846279688,5388.204597734647
50%,4563.648587118917,195493.8850031338,193289.3956341982,7075.20377644961
75%,9316.730501630176,229270.6214763726,227795.57733786284,9297.34618618175
max,135154.44345660027,764069.6152330308,392006.28659116983,37643.857307485654
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,338.50818724883254,113908.44224979148,176208.62098008886,6948.204481102559
std,1578.1899715190527,26931.252755042642,53994.19771969781,3223.868881261418
min,0.0,60961.93876108407,32021.16344743305,1977.0051258424005
25%,0.0,94705.75620741205,138536.1376316569,4765.005066850641
50%,0.0,110039.4521866685,174467.32986182687,6309.979169974047
75%,0.0,128739.37847571306,208122.14089993626,8202.356215870443
max,22042.38127012435,226410.88779634365,363186.40038935165,35388.56826319692
count,1000.0,1000.0,1000.0,1000.0
mean,1389.7703367360261,143134.3334318421,173188.10306633127,5423.68988983331
std,3210.011995523957,35648.654315010885,52162.41306884051,2890.2674150104917
min,0.0,74326.4564034256,8973.505309444314,1513.2116410495682
25%,0.0,117073.45689888689,135899.48187900332,3574.5829330197016
50%,0.0,138557.04980674322,171148.8556981259,4774.490822378673
75%,1695.2245241386647,162505.9151995869,204878.94305471622,6537.059848704296
max,38424.03049269412,392087.49796571565,394073.84168950823,39333.75729521181
count,1000.0,1000.0,1000.0,1000.0
mean,23.56110425696755,93620.32003313166,137736.69239051914,6583.855279312756
std,243.68272024590962,36073.74041093434,50179.37254051464,3022.3810690003966
min,0.0,42648.48903787632,4722.133392730814,1610.6508096084108
25%,0.0,78053.60689814162,101126.99161244885,4554.305575990644
50%,0.0,90092.46101464587,136913.08510428754,5926.570437678876
75%,0.0,104731.72436856874,170366.19959274004,8004.2226872034435
max,5130.564617415473,1003357.4606979436,329803.6064746288,35470.903054036906
count,1000.0,1000.0,1000.0,1000.0
mean,30514.037916882462,220278.97162658055,265030.27742969716,7807.189661491907
std,46796.87507403747,56755.136105141915,60233.616024590236,3263.639615695431
min,40.3598042963017,102237.60763150717,106906.6944862087,2321.0141294822956
25%,8141.393221316763,181695.88657662045,223083.30639059434,5405.8026828408
50%,16340.085676688313,211366.1443499968,259554.83463586762,7063.582025987758
75%,35848.41530977773,251120.8730063689,303282.16799485194,9387.779200980289
max,915777.5945688501,610222.09635256,463566.48858595686,22571.105479613863
count,1000.0,1000.0,1000.0,1000.0
mean,1838.0338457215344,128491.08849084505,174688.72596883625,6560.992959389527
std,6841.424376113465,31115.978824521124,50559.35551412951,3199.2307211218736
min,0.0,61904.22380510904,35701.441477267,1823.8797183787035
25%,0.0,106711.92865880168,138367.8633152871,4376.4519250330995
50%,0.0,123677.893824079,173005.36668540363,5743.498509033225
75%,1547.066810439547,145061.7870036701,207050.02273223276,7839.91734590451
max,120441.4337090892,323962.7946907696,390750.2929914124,23553.878610340875
count,1000.0,1000.0,1000.0,1000.0
