,B,C,D,E
50%,0.0,37988.87021566559,726.4775091886563,5311.729781705313
75%,0.0,45204.309328780095,44339.48771915237,7107.094624487756
max,0.0,92677.93637179318,161070.61777221653,43259.019978355005
count,1000.0,1000.0,1000.0,1000.0
mean,22808.51300411039,225354.20537884688,201215.7568450611,7440.699782928383
std,28113.2927051424,60106.81485603206,53215.70784945657,3661.9379946928884
min,0.0,102756.94442663631,66576.97002693158,2014.984055428948
25%,7573.1699235365795,185147.379359468,164476.12106538884,5139.334983622317
50%,14258.689017639714,217097.91285894968,198955.5447540722,6626.6248642354785
75%,29068.7644549474,253981.15003219157,234912.3399251154,8793.869140601948
max,506873.50002092856,739531.7961881949,445810.0423792868,48977.70130340317
count,82.0,82.0,82.0,82.0
mean,1774877.8002870982,600276.055720517,401098.5149723905,6736.309785335466
std,176532.2661101915,57047.071167503454,77961.11163562181,2818.176095833436
min,1424267.355961081,449321.98026063584,241896.57961128792,1922.1044661336296
25%,1641851.18492112,570603.082512304,344072.16443764174,4904.711831697459
50%,1773985.5835348694,607322.2100798492,405940.25440003094,6367.118751574451
75%,1911594.9252520532,633647.9150975631,462973.3280189399,8255.499954362409
max,2116189.381742418,726229.9061756972,541151.3233911593,16697.59035813669
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,39665.83834792256,28942.276679466566,5924.099851269972
std,0.0,10693.2504977105,34661.72759569926,2743.2899593202105
min,0.0,12214.729361218117,0.0,1415.3871733085714
25%,0.0,32176.148142537866,0.0,4003.635443214656
50%,0.0,38815.136988982595,2427.3310121317245,5369.011602626519
75%,0.0,45533.08440353868,51697.65984741782,7241.203534627672
max,0.0,91436.39771104662,178460.49657504886,19537.694423683035
count,991.0,991.0,991.0,991.0
mean,240830.33748579136,391769.9200112972,352940.0216189115,7420.003930636712
std,102504.32367788609,71131.4398333311,69174.77137345292,3325.4710176257367
min,41959.66184686965,206376.69178804668,162585.71563464045,2158.6445582995284
25%,176407.42685769135,341017.4109161977,303696.49070997996,5049.303349090229
50%,228320.3173239288,387071.75915963884,348049.3594038937,6790.567643826597
75%,291143.025602519,432095.2565131193,398905.7638312818,8827.330682736352
max,1723919.158461904,848421.3690795633,629279.8145263509,28159.805265787152
count,17.0,17.0,17.0,17.0
mean,1916573.6209323062,627437.4792616112,444590.84641058184,7399.608609067398
std,148391.69827386065,48947.495017293724,79744.20981069824,2103.9538774571465
min,1636765.9087273853,522252.7154943851,319588.34759995324,4205.870956074876
25%,1848088.2977823592,604336.2571037981,395368.86208064156,5705.358939646518
50%,1965666.907278716,625918.9710743693,421227.33947360556,7111.702593922319
75%,1992647.7782633805,648894.5975295954,488897.28924982424,8834.669558039468
max,2209633.610672263,730371.6053074355,641210.6679139283,11703.675571296066
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,14728.03086117405,77161.61895712122,6481.57816394867
std,0.0,7310.614682670779,49789.1924619057,3136.9059870702167
min,0.0,1363.2144482812087,0.0,1383.4888743668785
25%,0.0,9228.410478540723,42432.678927572524,4426.052575574402
50%,0.0,13398.455858286005,71773.90614525141,5856.405212418713
75%,0.0,18880.310238170765,111661.75385174886,7684.679716415412
max,0.0,52806.67544673744,257441.55821116106,29830.2115884658
count,999.0,999.0,999.0,999.0
mean,113689.61223532152,274658.3518067781,187983.41068009194,5164.77433621228
std,58479.189568016795,60265.5928052429,50747.008381426465,2553.0557910725047
min,12872.478512780639,130159.7952540701,39676.06745238614,1348.73198168291
25%,69139.5798204404,232932.57510997943,152566.71352922652,3493.6825697744366
50%,106318.5508976769,269682.8998632772,186661.35963726428,4580.855335880543
75%,147984.07325484388,308068.7576089696,220495.0610281038,6172.9426771463595
max,456727.59584771795,592567.8022524453,394527.22716965654,24145.71967826634
count,1000.0,1000.0,1000.0,1000.0
mean,0.8026343874866607,48018.68501970005,52939.94528697944,7611.055212121716
std,25.38152792831998,13789.273642194483,45084.912990855766,3359.3474094163976
min,0.0,20445.237162301382,0.0,2081.618468767957
25%,0.0,38769.55689764715,2114.155635791157,5338.60203451429
50%,0.0,46204.05571591128,48686.766118838495,6833.010276351802
75%,0.0,55686.49681153006,80129.45255177314,9164.07214465133
max,802.6343874866607,247432.42806989962,231361.49538736563,36395.812755614104
count,634.0,634.0,634.0,634.0
mean,1301012.5288775095,537003.8130922038,345027.7892188851,6670.4473058676795
std,190712.32887854282,71666.72038510356,67672.08047388883,2936.1530857232624
min,863374.1258225009,377248.8095757458,175896.58683318255,1720.3746157993046
25%,1178495.405127598,495140.7717600581,296164.77215226804,4590.346328885375
50%,1289255.830127079,531771.0455043956,343654.7989460984,6207.31160700864
75%,1402868.531489841,569236.053130345,382378.4346740158,8189.655472821402
max,3539559.633215456,1368687.6020174986,579783.55756036,27520.349206224706
count,963.0,963.0,963.0,963.0
mean,456375.25162043254,477273.5044816964,393504.5664672118,7231.846348228496
std,126291.52337240231,72075.54851631512,74771.05543405317,3351.6962657200397
min,100888.05486276382,291880.57792856306,206870.45490111958,1726.0980556440563
25%,379954.7059591303,425615.3463864301,338905.96880705736,4971.731262466725
50%,450061.3735182274,474285.56235982873,388721.25795046694,6569.337539911314
75%,519213.55621686473,518902.58578802954,440201.1113375935,8665.156021944596
max,2309184.3496610248,924573.3358664928,648942.080171161,33643.44012301813
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,22184.006248462698,207660.34637678514,245070.87626747406,6572.358149807607
std,28975.364857792658,56710.18778527755,54549.35664647552,2901.4489438842224
